"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"kar","moʔkɨ","DIST.ANIM","DIST.ANIM","d.anim","courtz2008carib[53]",
"kar","mookɨ+kon","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-1","alvarez2016esbozo[53]",
"kax","mokɨ","DIST.ANIM","DIST.ANIM","d.anim",,
"mak","məkkɨ","DIST.ANIM","DIST.ANIM","d.anim","maquiritaricaceres2011[122]",
"PTar","məkɨ","DIST.ANIM","DIST.ANIM","d.anim","meira1998proto[67]",
"wai","mɨkɨ","DIST.ANIM","DIST.ANIM","d.anim",,
"way","məkɨ","DIST.ANIM","DIST.ANIM","d.anim","wayanatavares2005[184]",
"ikp","ugu+n","DIST.ANIM","MED.ANIM","d.anim+EMP","ikpengpacheco2001[119]",
"car","mək+amo+ro","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2+EMP","guerrero2019carijo[86]",
"ikp","mun","DIST.INAN","DIST.INAN","d.inan","ikpengpacheco2001[119]",
"apa","mok+amo","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","koehn1986apalai[95]",
"hix","mok+jamo","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","hixkaryanaderby1985[7]",
"kar","moʔk+an","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","courtz2008carib[53]",
"mak","makk+amo","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","maquiritaricaceres2011[122]",
"PTar","məkɨ+jamo","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","meira1998proto[67]",
"wai","mo+ʃam","DIST.ANIM.PL",,"d.anim+PL-2",,
"way","mək+jamo","DIST.ANIM.PL","DIST.ANIM.PL","d.anim+PL-2","wayanatavares2005[184]",
"apa","monɨ","DIST.INAN","DIST.INAN","d.inan","koehn1986apalai[95]",
"hix","monɨ","DIST.INAN","DIST.INAN","d.inan","hixkaryanaderby1985[7]",
"kar","monɨ","DIST.INAN","DIST.INAN","d.inan","courtz2008carib[53]",
"kax","monɨ","DIST.INAN","DIST.INAN","d.inan",,
"mak","məənɨ","DIST.INAN","DIST.INAN","d.inan","maquiritaricaceres2011[122]",
"PTar","mənɨ","DIST.INAN","DIST.INAN","d.inan","meira1998proto[67]",
"wai","mɨnɨ","DIST.INAN","DIST.INAN","d.inan",,
