ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
44_0,44,2,1,- ə m ə,,pronouns
44_1,44,emp,2,r ə,,pronouns
45_0,45,2,1,- o m o,,pronouns
45_1,45,emp,2,r o,,pronouns
46_0,46,2,1,- o m -,,pronouns
46_1,46,emp,2,r o,,pronouns
47_0,47,2,1,- a m ə,,pronouns
47_1,47,emp,2,r ə,,pronouns
48_0,48,2,1,- a m o,,pronouns
48_1,48,emp,2,r o,,pronouns
49_0,49,2,1,- o m o,,pronouns
49_1,49,emp,2,r o,,pronouns
50_0,50,2,1,- a m ɨ,,pronouns
50_1,50,emp,2,r ɨ,,pronouns
51_0,51,2,1,- a m ə,,pronouns
51_1,51,emp,2,r ə,,pronouns
52_0,52,2,1,m ə - -,,pronouns
52_1,52,emp,2,r ə,,pronouns
53_0,53,2,1,- a m ə,,pronouns
53_1,53,emp,2,n -,,pronouns
54_0,54,2,1,- ə m ə,,pronouns
54_1,54,emp,2,r ə,,pronouns
55_0,55,2,1,- a m ə,,pronouns
55_1,55,emp,2,r ə,,pronouns
56_0,56,2,1,m ə - -,,pronouns
56_1,56,emp,2,r ə,,pronouns
57_0,57,2,1,m ə - -,,pronouns
57_1,57,emp,2,r ə,,pronouns
58_0,58,2,1,- o m o,,pronouns
58_1,58,emp,2,r o,,pronouns
59_0,59,2,1,- ə m ə,,pronouns
59_1,59,emp,2,r ə,,pronouns
60_0,60,2,1,- a m ə,,pronouns
